"file_key","kind","name","lineno","indent","is_method","raw_line"
"alarm_manager.py","def","remove_alarm","577","4","True","    def remove_alarm(self, alarm_id: int) -> None:"
"alarm_manager.py","def","delete_alarms","582","4","True","    def delete_alarms(self, ids: List[int]) -> None:"
"alarm_manager.py","def","_remove_alarms_by_ids","587","4","True","    def _remove_alarms_by_ids(self, ids: set[int]) -> None:"
"alarm_manager.py","def","toggle_alarm","598","4","True","    def toggle_alarm(self, alarm_id: int) -> None:"
"alarm_manager.py","def","snooze_alarm","610","4","True","    def snooze_alarm("
"alarm_manager.py","def","get_next_alarms","633","4","True","    def get_next_alarms(self, count: int = 5) -> list[NextAlarmInfo]:"
"alarm_manager.py","def","get_next_alarm","663","4","True","    def get_next_alarm(self) -> tuple[AlarmInternal, datetime] | None:"
"alarm_manager.py","def","get_alarm_settings","673","4","True","    def get_alarm_settings(self) -> list[tuple[AlarmInternal, datetime | None]]:"
"alarm_manager.py","def","get_alarm_by_id","688","4","True","    def get_alarm_by_id(self, alarm_id: int) -> AlarmInternal | None:"
"alarm_manager.py","def","_notify_listeners","698","4","True","    def _notify_listeners(self) -> None:"
"alarm_manager.py","def","_run","701","8","True","        def _run() -> None:"
"alarm_manager.py","def","add_listener","710","4","True","    def add_listener(self, func: Callable[[], None]) -> None:"
"alarm_manager.py","def","remove_listener","715","4","True","    def remove_listener(self, func: Callable[[], None]) -> None:"
"alarm_manager.py","def","find_due_alarms","723","4","True","    def find_due_alarms(self, alarms: list[AlarmInternal]) -> list[AlarmInternal]:"
"alarm_manager_cycle_controll_options.py","class","CycleOptions","18","0","False","class CycleOptions:"
"alarm_manager_temp.py","class","NextAlarmInfo","47","0","False","class NextAlarmInfo(TypedDict):"
"alarm_manager_temp.py","class","AlarmManager","55","0","False","class AlarmManager:"
"alarm_manager_temp.py","def","get_base_dir","66","4","True","    def get_base_dir() -> Path:"
"alarm_manager_temp.py","def","__init__","75","4","True","    def __init__(self) -> None:"
"alarm_manager_temp.py","def","tick","129","4","True","    def tick(self) -> None:"
"alarm_manager_temp.py","def","internal_clock","133","4","True","    def internal_clock(self) -> datetime:"
"alarm_manager_temp.py","def","_where","145","4","True","    def _where(self, method_name: str) -> LogWhere:"
"alarm_manager_temp.py","def","_recalc_states","162","4","True","    def _recalc_states(self) -> None:"
"alarm_manager_temp.py","def","_get_state","193","4","True","    def _get_state(self, alarm_id: int) -> AlarmStateInternal | None:"
"alarm_manager_temp.py","def","get_alarm_by_id","200","4","True","    def get_alarm_by_id(self, alarm_id: int) -> AlarmInternal | None:"
"alarm_manager_temp.py","def","get_state_by_id","207","4","True","    def get_state_by_id(self, alarm_id: int) -> AlarmStateInternal | None:"
"alarm_manager_temp.py","def","_update_next_fire_runtime","214","4","True","    def _update_next_fire_runtime(self) -> None:"
"alarm_manager_temp.py","def","_handle_due_alarms","230","4","True","    def _handle_due_alarms(self) -> None:  # 実際に鳴らす処理"
"alarm_manager_temp.py","def","_get_or_create_state","295","4","True","    def _get_or_create_state(self, alarm_id: int) -> AlarmStateInternal:"
"alarm_manager_temp.py","def","_build_sorted_next_alarm_list","307","4","True","    def _build_sorted_next_alarm_list(self) -> list[tuple[int, datetime]]:"
"alarm_manager_temp.py","def","_fire_alarm","311","4","True","    def _fire_alarm(self, alarm: AlarmInternal, state: AlarmStateInternal) -> None:"
"alarm_manager_temp.py","def","_check_invalid_states","345","4","True","    def _check_invalid_states(self) -> None:"
"alarm_manager_temp.py","def","_repair_invalid_states","372","4","True","    def _repair_invalid_states(self) -> None:"
"alarm_manager_temp.py","def","_normalize_on_boot_and_edit","441","4","True","    def _normalize_on_boot_and_edit(self, reason: Literal[""boot"", ""edit""]) -> None:"
"alarm_manager_temp.py","def","_reset_state_for_future","475","4","True","    def _reset_state_for_future(self, state: AlarmStateInternal) -> None:"
"alarm_manager_temp.py","def","apply_alarm_mutation","484","4","True","    def apply_alarm_mutation("
"alarm_manager_temp.py","def","update_alarm","510","4","True","    def update_alarm(self, ui_alarm: AlarmUIPatch) -> None:"
"alarm_manager_temp.py","def","_adjust_state_after_update","548","4","True","    def _adjust_state_after_update(self, alarm_id: int) -> None:"
"alarm_manager_temp.py","def","_merge_ui","565","4","True","    def _merge_ui(self, base: AlarmUI, patch: AlarmUIPatch) -> AlarmUI:"
"alarm_manager_temp.py","def","get_next_id","581","4","True","    def get_next_id(self) -> int:"
"alarm_manager_temp.py","def","add_alarm","590","4","True","    def add_alarm(self, ui_alarm: AlarmUI) -> Optional[AlarmInternal]:"
"alarm_manager_temp.py","def","_replace_alarm","628","4","True","    def _replace_alarm(self, new_internal: AlarmInternal) -> None:"
"alarm_manager_temp.py","def","delete_alarms","649","4","True","    def delete_alarms(self, ids: List[int]) -> None:"
"alarm_manager_temp.py","def","_remove_alarms_by_ids","654","4","True","    def _remove_alarms_by_ids(self, ids: set[int]) -> None:"
"alarm_manager_temp.py","def","build_state_view","669","4","True","    def build_state_view(self, state: AlarmStateInternal) -> AlarmStateView:"
"alarm_manager_temp.py","def","_notify_listeners","687","4","True","    def _notify_listeners(self) -> None:"
"alarm_manager_temp.py","def","_run","692","8","True","        def _run() -> None:"
"alarm_manager_temp.py","def","add_listener","701","4","True","    def add_listener(self, func: Callable[[], None]) -> None:"
"alarm_manager_temp.py","def","remove_listener","706","4","True","    def remove_listener(self, func: Callable[[], None]) -> None:"
"alarm_manager_temp.py","def","toggle_alarm","714","4","True","    def toggle_alarm(self, alarm_id: int) -> None:"
"alarm_manager_temp.py","def","_check_snooze","726","4","True","    def _check_snooze("
"alarm_manager_temp.py","def","snooze_alarm","766","4","True","    def snooze_alarm("
"alarm_manager_temp.py","def","request_stop","789","4","True","    def request_stop(self) -> None:"
"alarm_manager_temp.py","def","stop_alarm","794","4","True","    def stop_alarm(self, state: AlarmStateInternal) -> None:"
"alarm_manager_temp.py","def","get_active_alarm_state","811","4","True","    def get_active_alarm_state(self) -> Optional[AlarmStateInternal]:"
"alarm_manager_temp.py","def","load_alarms","836","4","True","    def load_alarms(self) -> List[AlarmInternal]:"
"alarm_manager_temp.py","def","load_standby","851","4","True","    def load_standby(self) -> List[AlarmStateInternal]:"
"alarm_manager_temp.py","def","load_all","878","4","True","    def load_all(self) -> None:"
"alarm_manager_temp.py","def","_save","896","4","True","    def _save(self) -> None:"
"alarm_manager_temp.py","def","_save_standby","902","4","True","    def _save_standby(self) -> None:"
"alarm_manager_temp.py","def","_normalize_states","917","4","True","    def _normalize_states(self) -> None:"
"alarm_manager_temp.py","def","_build_normalized_states_for_save","929","4","True","    def _build_normalized_states_for_save(self) -> list[AlarmStateInternal]:"
"alarm_manager_temp.py","def","start_cycle","941","4","True","    def start_cycle(self, condition: CycleCondition) -> None:"
"alarm_manager_temp.py","def","_start_config_changed_cycle","956","4","True","    def _start_config_changed_cycle(self) -> None:"
"alarm_manager_temp.py","def","_start_startup_cycle","963","4","True","    def _start_startup_cycle(self) -> None:"
"alarm_manager_temp.py","def","_start_running_cycle","970","4","True","    def _start_running_cycle(self) -> None:"
"alarm_manager_temp.py","def","run_cycle","980","4","True","    def run_cycle(self, opt: CycleOptions) -> None:"
"alarm_manager_temp.py","def","_begin_cycle","1026","4","True","    def _begin_cycle(self) -> None:"
"alarm_manager_temp.py","def","_load_phase","1029","4","True","    def _load_phase(self) -> None:"
"alarm_manager_temp.py","def","_recalc_phase","1033","4","True","    def _recalc_phase(self) -> None:"
"alarm_manager_temp.py","def","_fire_phase","1038","4","True","    def _fire_phase(self) -> None:"
"alarm_manager_temp.py","def","_save_phase","1041","4","True","    def _save_phase(self) -> None:"
"alarm_manager_temp.py","def","_stop_phase","1064","4","True","    def _stop_phase(self) -> None:"
"alarm_manager_verification_script.py","def","_where","22","0","False","def _where(func_name: str) -> ""LogWhere"":"
"alarm_manager_verification_script.py","def","main","27","0","False","def main(dry_run: bool = False) -> None:"
"alarm_manager_verification_script.py","def","_validate_single_repeat","39","0","False","def _validate_single_repeat("
"alarm_manager_verification_script.py","def","test_missing_state_creates_initial_state","71","0","False","def test_missing_state_creates_initial_state() -> None:"
"alarm_manager_verification_script.py","def","test_hard_alarm_sample_json_survives","100","0","False","def test_hard_alarm_sample_json_survives() -> None:"
"alarm_manager_verification_script.py","def","test_next_fire_is_sane_for_all_alarms","117","0","False","def test_next_fire_is_sane_for_all_alarms() -> None:"
"alarm_manager_verification_script.py","def","test_disabled_alarms_never_fire","161","0","False","def test_disabled_alarms_never_fire() -> None:"
"alarm_manager_verification_script.py","def","test_edge_case_alarm_fields_do_not_crash","176","0","False","def test_edge_case_alarm_fields_do_not_crash() -> None:"
"alarm_player.py","class","AlarmPlayer","23","0","False","class AlarmPlayer:"
"alarm_player.py","def","__init__","26","4","True","    def __init__(self) -> None:"
"alarm_player.py","def","play","36","4","True","    def play(self, sound: str, duration: int = 10) -> None:"
"alarm_player.py","def","stop_after","65","8","True","        def stop_after() -> None:"
"alarm_player.py","def","stop","72","4","True","    def stop(self) -> None:"
"alarm_player.py","class","AlarmPlayerGUI","81","0","False","class AlarmPlayerGUI:"
"alarm_player.py","def","__init__","84","4","True","    def __init__(self, root: tk.Misc) -> None:"
"alarm_player.py","def","play","95","4","True","    def play(self, sound: str, duration: int = 10) -> None:"
"alarm_player.py","def","stop","125","4","True","    def stop(self) -> None:"
"alarm_repeat_datetime_checker.py","class","AlarmDatetimeChecker","21","0","False","class AlarmDatetimeChecker:"
"alarm_repeat_datetime_checker.py","def","__init__","34","4","True","    def __init__("
"alarm_repeat_datetime_checker.py","def","should_fire","48","4","True","    def should_fire(self) -> bool:"
"alarm_repeat_datetime_checker.py","def","_where","95","4","True","    def _where(self, func_name: str) -> ""LogWhere"":"
"alarm_scheduler.py","class","AlarmScheduler","34","0","False","class AlarmScheduler:"
"alarm_scheduler.py","def","__init__","37","4","True","    def __init__(self) -> None:"
"alarm_scheduler.py","def","_base","51","4","True","    def _base(self, alarm: AlarmInternal) -> datetime:"
"alarm_scheduler.py","def","_with_time","61","4","True","    def _with_time(self, d: datetime, alarm: AlarmInternal) -> datetime:"
"alarm_scheduler.py","def","get_next_time","68","4","True","    def get_next_time("
"alarm_scheduler.py","def","_get_handler","85","4","True","    def _get_handler(self, repeat: str) -> CallableType | None:"
"alarm_scheduler.py","def","_next_single","91","4","True","    def _next_single(self, alarm: AlarmInternal, now: datetime) -> datetime:"
"alarm_scheduler.py","def","_next_daily","98","4","True","    def _next_daily(self, alarm: AlarmInternal, now: datetime) -> datetime:"
"alarm_scheduler.py","def","_next_interval_days","117","4","True","    def _next_interval_days("
"alarm_scheduler.py","def","_next_weekday_candidate","138","4","True","    def _next_weekday_candidate("
